Time [s], PULSE
0,92
1,93
2,93
3,94
4,94
5,94
6,94
7,94
8,94
9,94
10,94
11,94
12,94
13,93
14,93
15,93
16,93
17,92
18,92
19,92
20,91
21,91
22,91
23,91
24,91
25,90
26,90
27,90
28,90
29,89
30,89
31,89
32,89
33,89
34,89
35,89
36,89
37,89
38,89
39,90
40,90
41,90
42,90
43,90
44,91
45,91
46,91
47,91
48,91
49,92
50,92
51,92
52,92
53,92
54,91
55,91
56,91
57,90
58,90
59,90
60,89
61,89
62,89
63,89
64,89
65,89
66,88
67,88
68,88
69,88
70,89
71,89
72,89
73,90
74,90
75,91
76,91
77,91
78,91
79,91
80,92
81,92
82,92
83,93
84,93
85,93
86,93
87,93
88,94
89,93
90,93
91,93
92,93
93,92
94,92
95,92
96,91
97,91
98,91
99,91
100,91
101,90
102,90
103,90
104,89
105,89
106,89
107,89
108,89
109,89
110,89
111,89
112,89
113,89
114,89
115,89
116,89
117,89
118,89
119,89
120,89
121,89
122,89
123,89
124,89
125,90
126,90
127,91
128,91
129,91
130,92
131,92
132,92
133,92
134,92
135,92
136,92
137,92
138,92
139,92
140,91
141,91
142,90
143,90
144,90
145,90
146,89
147,90
148,90
149,90
150,90
151,90
152,90
153,90
154,90
155,89
156,89
157,88
158,88
159,88
160,88
161,88
162,88
163,89
164,89
165,90
166,90
167,90
168,90
169,90
170,90
171,91
172,91
173,92
174,92
175,92
176,92
177,92
178,92
179,92
180,92
181,92
182,93
183,92
184,92
185,92
186,92
187,91
188,90
189,90
190,90
191,90
192,90
193,90
194,89
195,90
196,90
197,90
198,90
199,90
200,89
201,89
202,89
203,89
204,89
205,89
206,89
207,89
208,89
209,89
210,89
211,90
212,90
213,90
214,90
215,90
216,90
217,90
218,90
219,90
220,90
221,90
222,90
223,90
224,89
225,90
226,90
227,90
228,90
229,90
230,91
231,91
232,91
233,92
234,92
235,92
236,92
237,93
238,93
239,93
240,93
241,92
242,92
243,91
244,90
245,90
246,89
247,89
248,89
249,89
250,90
251,90
252,90
253,89
254,89
255,89
256,89
257,89
258,88
259,88
260,88
261,88
262,88
263,88
264,89
265,89
266,89
267,90
268,90
269,90
270,91
271,91
272,91
273,92
274,92
275,92
276,92
277,92
278,92
279,92
280,92
281,92
282,91
283,91
284,91
285,91
286,90
287,90
288,90
289,89
290,89
291,89
292,88
293,88
294,88
295,88
296,87
297,87
298,87
299,87
300,87
301,87
302,87
303,87
304,87
305,87
306,87
307,87
308,87
309,87
310,87
311,88
312,88
313,88
314,88
315,88
316,89
317,89
318,89
319,89
320,89
321,89
322,90
323,90
324,90
325,91
326,91
327,91
328,92
329,92
330,92
331,92
332,92
333,92
334,92
335,92
336,92
337,92
338,92
339,92
340,92
341,92
342,92
343,92
344,93
345,93
346,93
347,93
348,93
349,93
350,93
351,93
352,92
353,92
354,92
355,92
356,91
357,91
358,91
359,91
360,91
361,90
362,90
363,90
364,90
365,90
366,90
367,90
368,90
369,90
370,91
371,91
372,91
373,92
374,92
375,93
376,93
377,94
378,94
379,95
380,95
381,95
382,95
383,94
384,94
385,94
386,93
387,93
388,92
389,92
390,92
391,91
392,91
393,91
394,91
395,90
396,90
397,90
398,90
399,90
400,90
401,90
402,90
403,91
404,91
405,91
406,91
407,92
408,92
409,92
410,92
411,92
412,91
413,91
414,91
415,91
416,90
417,90
418,90
419,89
420,89
421,89
422,89
423,89
424,89
425,89
426,89
427,89
428,89
429,89
430,89
431,89
432,89
433,89
434,89
435,89
436,90
437,90
438,90
439,90
440,90
441,90
442,90
443,91
444,91
445,91
446,91
447,92
448,92
449,92
450,92
451,92
452,92
453,92
454,93
455,93
456,93
457,93
458,93
459,93
460,94
461,94
462,94
463,94
464,94
465,94
466,94
467,94
468,93
469,93
470,93
471,93
472,93
473,93
474,92
475,92
476,92
477,92
478,91
479,91
480,90
