Timestamp,Channel_0_Raw,Channel_1_Raw,Channel_2_Raw,Channel_3_Raw,Channel_4_Raw,Channel_0_Voltage,Channel_1_Voltage,Channel_2_Voltage,Channel_3_Voltage,Channel_4_Voltage,Target
2025-03-25 21:03:20,65087,65279,65215,48046,43882,3.281,3.281,3.284,2.413,2.232,1
2025-03-25 21:03:21,65407,65215,65343,47982,44395,3.287,3.287,3.287,2.413,2.232,1
2025-03-25 21:03:22,65279,65151,65343,47982,44331,3.287,3.29,3.287,2.416,2.236,1
2025-03-25 21:03:23,65343,65279,65279,47854,44459,3.287,3.284,3.284,2.416,2.236,1
2025-03-25 21:03:24,65279,65343,65343,47918,44523,3.287,3.297,3.29,2.416,2.236,1
2025-03-25 21:03:25,65279,65279,65343,48046,44395,3.287,3.284,3.284,2.423,2.239,1
2025-03-25 21:03:26,65343,65279,65215,49392,44459,3.287,3.294,3.29,2.484,2.239,1
2025-03-25 21:03:27,65471,65343,65279,49648,44395,3.287,3.281,3.29,2.506,2.239,1
2025-03-25 21:03:28,65215,65279,65279,49776,44459,3.281,3.29,3.29,2.51,2.232,1
2025-03-25 21:03:29,65279,65343,65343,49712,44395,3.287,3.284,3.287,2.503,2.239,1
2025-03-25 21:03:30,65343,65343,65215,49648,44459,3.284,3.29,3.287,2.497,2.239,1
2025-03-25 21:03:31,65279,65343,65343,48559,44459,3.284,3.287,3.284,2.458,2.242,1
2025-03-25 21:03:32,65279,65343,65343,48495,44331,3.29,3.284,3.29,2.442,2.239,1
2025-03-25 21:03:33,65279,65215,65407,47214,44459,3.287,3.284,3.29,2.416,2.239,1
2025-03-25 21:03:34,65279,65279,65343,48303,44523,3.294,3.294,3.29,2.432,2.239,1
2025-03-25 21:03:35,65215,65343,65343,49200,44459,3.29,3.29,3.284,2.477,2.239,1
2025-03-25 21:03:36,65279,65407,65343,47918,44395,3.29,3.29,3.284,2.416,2.236,1
2025-03-25 21:03:37,65151,65279,65279,47598,44331,3.284,3.281,3.284,2.394,2.242,1
2025-03-25 21:03:38,65279,65279,65279,48046,44395,3.29,3.287,3.29,2.423,2.236,1
2025-03-25 21:03:39,65279,65215,65279,49007,44459,3.287,3.277,3.287,2.474,2.236,1
2025-03-25 21:03:40,65343,65407,65343,49456,44395,3.287,3.294,3.29,2.487,2.232,1
2025-03-25 21:03:41,65343,65215,65343,47854,44395,3.287,3.29,3.281,2.413,2.242,1
